Problem:    meetup
Rows:       332
Columns:    369 (369 integer, 278 binary)
Non-zeros:  1285
Status:     INTEGER OPTIMAL
Objective:  TotalRewards = 547 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 TotalRewards              547                             
     2 RewardCondition[1,Monday]
                                   0                          -0 
     3 RewardCondition[1,Tuesday]
                                   0                          -0 
     4 RewardCondition[1,Wednesday]
                                   0                          -0 
     5 RewardCondition[1,Thursday]
                                   0                          -0 
     6 RewardCondition[1,Friday]
                                   0                          -0 
     7 RewardCondition[1,Saturday]
                                   0                          -0 
     8 RewardCondition[1,Sunday]
                                   0                          -0 
     9 RewardCondition[2,Monday]
                                   0                          -0 
    10 RewardCondition[2,Tuesday]
                                   0                          -0 
    11 RewardCondition[2,Wednesday]
                                   0                          -0 
    12 RewardCondition[2,Thursday]
                                   0                          -0 
    13 RewardCondition[2,Friday]
                                   0                          -0 
    14 RewardCondition[2,Saturday]
                                  -1                          -0 
    15 RewardCondition[2,Sunday]
                                   0                          -0 
    16 RewardCondition[3,Monday]
                                   0                          -0 
    17 RewardCondition[3,Tuesday]
                                   0                          -0 
    18 RewardCondition[3,Wednesday]
                                   0                          -0 
    19 RewardCondition[3,Thursday]
                                   0                          -0 
    20 RewardCondition[3,Friday]
                                   0                          -0 
    21 RewardCondition[3,Saturday]
                                   0                          -0 
    22 RewardCondition[3,Sunday]
                                   0                          -0 
    23 RewardCondition[4,Monday]
                                   0                          -0 
    24 RewardCondition[4,Tuesday]
                                   0                          -0 
    25 RewardCondition[4,Wednesday]
                                   0                          -0 
    26 RewardCondition[4,Thursday]
                                   0                          -0 
    27 RewardCondition[4,Friday]
                                   0                          -0 
    28 RewardCondition[4,Saturday]
                                   0                          -0 
    29 RewardCondition[4,Sunday]
                                   0                          -0 
    30 RewardCondition[5,Monday]
                                   0                          -0 
    31 RewardCondition[5,Tuesday]
                                   0                          -0 
    32 RewardCondition[5,Wednesday]
                                   0                          -0 
    33 RewardCondition[5,Thursday]
                                   0                          -0 
    34 RewardCondition[5,Friday]
                                   0                          -0 
    35 RewardCondition[5,Saturday]
                                   0                          -0 
    36 RewardCondition[5,Sunday]
                                   0                          -0 
    37 RewardCondition[6,Monday]
                                   0                          -0 
    38 RewardCondition[6,Tuesday]
                                   0                          -0 
    39 RewardCondition[6,Wednesday]
                                   0                          -0 
    40 RewardCondition[6,Thursday]
                                   0                          -0 
    41 RewardCondition[6,Friday]
                                   0                          -0 
    42 RewardCondition[6,Saturday]
                                  -1                          -0 
    43 RewardCondition[6,Sunday]
                                   0                          -0 
    44 RewardCondition[7,Monday]
                                   0                          -0 
    45 RewardCondition[7,Tuesday]
                                   0                          -0 
    46 RewardCondition[7,Wednesday]
                                   0                          -0 
    47 RewardCondition[7,Thursday]
                                   0                          -0 
    48 RewardCondition[7,Friday]
                                   0                          -0 
    49 RewardCondition[7,Saturday]
                                  -1                          -0 
    50 RewardCondition[7,Sunday]
                                   0                          -0 
    51 RewardCondition[8,Monday]
                                   0                          -0 
    52 RewardCondition[8,Tuesday]
                                   0                          -0 
    53 RewardCondition[8,Wednesday]
                                   0                          -0 
    54 RewardCondition[8,Thursday]
                                   0                          -0 
    55 RewardCondition[8,Friday]
                                   0                          -0 
    56 RewardCondition[8,Saturday]
                                   0                          -0 
    57 RewardCondition[8,Sunday]
                                   0                          -0 
    58 RewardCondition[9,Monday]
                                   0                          -0 
    59 RewardCondition[9,Tuesday]
                                   0                          -0 
    60 RewardCondition[9,Wednesday]
                                   0                          -0 
    61 RewardCondition[9,Thursday]
                                   0                          -0 
    62 RewardCondition[9,Friday]
                                   0                          -0 
    63 RewardCondition[9,Saturday]
                                  -1                          -0 
    64 RewardCondition[9,Sunday]
                                   0                          -0 
    65 RewardCondition[10,Monday]
                                   0                          -0 
    66 RewardCondition[10,Tuesday]
                                   0                          -0 
    67 RewardCondition[10,Wednesday]
                                   0                          -0 
    68 RewardCondition[10,Thursday]
                                   0                          -0 
    69 RewardCondition[10,Friday]
                                   0                          -0 
    70 RewardCondition[10,Saturday]
                                   0                          -0 
    71 RewardCondition[10,Sunday]
                                   0                          -0 
    72 RewardCondition[11,Monday]
                                   0                          -0 
    73 RewardCondition[11,Tuesday]
                                   0                          -0 
    74 RewardCondition[11,Wednesday]
                                   0                          -0 
    75 RewardCondition[11,Thursday]
                                   0                          -0 
    76 RewardCondition[11,Friday]
                                   0                          -0 
    77 RewardCondition[11,Saturday]
                                   0                          -0 
    78 RewardCondition[11,Sunday]
                                   0                          -0 
    79 RewardCondition[12,Monday]
                                   0                          -0 
    80 RewardCondition[12,Tuesday]
                                   0                          -0 
    81 RewardCondition[12,Wednesday]
                                   0                          -0 
    82 RewardCondition[12,Thursday]
                                   0                          -0 
    83 RewardCondition[12,Friday]
                                   0                          -0 
    84 RewardCondition[12,Saturday]
                                   0                          -0 
    85 RewardCondition[12,Sunday]
                                   0                          -0 
    86 RewardCondition[13,Monday]
                                   0                          -0 
    87 RewardCondition[13,Tuesday]
                                  -1                          -0 
    88 RewardCondition[13,Wednesday]
                                   0                          -0 
    89 RewardCondition[13,Thursday]
                                   0                          -0 
    90 RewardCondition[13,Friday]
                                   0                          -0 
    91 RewardCondition[13,Saturday]
                                   0                          -0 
    92 RewardCondition[13,Sunday]
                                   0                          -0 
    93 SzilveszterAvailability[1,Monday]
                                   0                          -0 
    94 SzilveszterAvailability[1,Tuesday]
                                   0                          -0 
    95 SzilveszterAvailability[1,Wednesday]
                                   0                          -0 
    96 SzilveszterAvailability[1,Thursday]
                                   0                          -0 
    97 SzilveszterAvailability[1,Friday]
                                   0                          -0 
    98 SzilveszterAvailability[1,Saturday]
                                   1                           1 
    99 SzilveszterAvailability[1,Sunday]
                                   0                           1 
   100 SzilveszterAvailability[2,Monday]
                                   0                          -0 
   101 SzilveszterAvailability[2,Tuesday]
                                   0                          -0 
   102 SzilveszterAvailability[2,Wednesday]
                                   0                          -0 
   103 SzilveszterAvailability[2,Thursday]
                                   0                          -0 
   104 SzilveszterAvailability[2,Friday]
                                   0                          -0 
   105 SzilveszterAvailability[2,Saturday]
                                   1                           1 
   106 SzilveszterAvailability[2,Sunday]
                                   0                           1 
   107 SzilveszterAvailability[3,Monday]
                                   0                          -0 
   108 SzilveszterAvailability[3,Tuesday]
                                   0                          -0 
   109 SzilveszterAvailability[3,Wednesday]
                                   0                          -0 
   110 SzilveszterAvailability[3,Thursday]
                                   0                          -0 
   111 SzilveszterAvailability[3,Friday]
                                   0                          -0 
   112 SzilveszterAvailability[3,Saturday]
                                   1                           1 
   113 SzilveszterAvailability[3,Sunday]
                                   0                           1 
   114 SzilveszterAvailability[4,Monday]
                                   0                          -0 
   115 SzilveszterAvailability[4,Tuesday]
                                   0                          -0 
   116 SzilveszterAvailability[4,Wednesday]
                                   1                           1 
   117 SzilveszterAvailability[4,Thursday]
                                   0                          -0 
   118 SzilveszterAvailability[4,Friday]
                                   0                          -0 
   119 SzilveszterAvailability[4,Saturday]
                                   1                           1 
   120 SzilveszterAvailability[4,Sunday]
                                   0                           1 
   121 SzilveszterAvailability[5,Monday]
                                   0                          -0 
   122 SzilveszterAvailability[5,Tuesday]
                                   0                          -0 
   123 SzilveszterAvailability[5,Wednesday]
                                   0                          -0 
   124 SzilveszterAvailability[5,Thursday]
                                   0                          -0 
   125 SzilveszterAvailability[5,Friday]
                                   1                           1 
   126 SzilveszterAvailability[5,Saturday]
                                   1                           1 
   127 SzilveszterAvailability[5,Sunday]
                                   1                           1 
   128 SzilveszterAvailability[6,Monday]
                                   0                          -0 
   129 SzilveszterAvailability[6,Tuesday]
                                   0                          -0 
   130 SzilveszterAvailability[6,Wednesday]
                                   0                          -0 
   131 SzilveszterAvailability[6,Thursday]
                                   0                          -0 
   132 SzilveszterAvailability[6,Friday]
                                   0                          -0 
   133 SzilveszterAvailability[6,Saturday]
                                   1                           1 
   134 SzilveszterAvailability[6,Sunday]
                                   0                           1 
   135 SzilveszterAvailability[7,Monday]
                                   0                          -0 
